PIT Defense,DST,97.8
KC Defense,DST,96.8
CAR Defense,DST,96.2
LV Defense,DST,93.6
CHI Defense,DST,93.5
TEN Defense,DST,93
NE Defense,DST,92.4
SEA Defense,DST,92.2
MIN Defense,DST,91.7
NYG Defense,DST,90.4
NYJ Defense,DST,89.1
ATL Defense,DST,87.9
JAC Defense,DST,86.9
HOU Defense,DST,85.8
DET Defense,DST,84.7
